Gene	sgRNA	eff
ACSS2	ACSS2_p33501184	1
ACTL6A	ACTL6A_m179287950	1
ACTL6A	ACTL6A_m179287986	1
ACTL6A	ACTL6A_p179287878	1
ACTL6A	ACTL6A_p179287892	1
ACTL6A	ACTL6A_p179287902	1
ACTL6A	ACTL6A_p179287911	1
ACTL6A	ACTL6A_p179287920	1
ACTL6A	ACTL6A_p179287966	1
ACTL6A	ACTL6A_p179287976	1
ACTL6A	ACTL6A_p179291144	1
ACTL6B	ACTL6B_m100253076	1
ACTL6B	ACTL6B_m100253081	1
ACTL6B	ACTL6B_m100253086	1
ACTL6B	ACTL6B_m100253168	1
ACTL6B	ACTL6B_m100253443	1
ACTL6B	ACTL6B_m100253971	1
ACTL6B	ACTL6B_p100253037	1
ACTL6B	ACTL6B_p100253066	1
ACTL6B	ACTL6B_p100253094	1
ACTL6B	ACTL6B_p100253446	1
ACTL7A	ACTL7A_m111624641	1
ACTL7A	ACTL7A_m111624669	1
ACTL7A	ACTL7A_m111624684	1
ACTL7A	ACTL7A_m111624726	1
ACTL7A	ACTL7A_m111624736	1
ACTL7A	ACTL7A_p111624607	1
ACTL7A	ACTL7A_p111624631	1
ACTL7A	ACTL7A_p111624686	1
ACTL7A	ACTL7A_p111624691	1
ACTL7A	ACTL7A_p111624699	1
ACTN1	ACTN1_m69392359	1
ACTN1	ACTN1_m69392382	1
ACTN1	ACTN1_m69445694	1
ACTN1	ACTN1_m69445700	1
ACTN1	ACTN1_m69445718	1
ACTN1	ACTN1_m69445724	1
ACTN1	ACTN1_p69392370	1
ACTN1	ACTN1_p69445679	1
ACTN1	ACTN1_p69445708	1
ACTN1	ACTN1_p69445745	1
ACTN4	ACTN4_m39138399	1
ACTN4	ACTN4_m39138430	1
ACTN4	ACTN4_m39138527	1
ACTN4	ACTN4_p39138381	1
ACTN4	ACTN4_p39138403	1
ACTN4	ACTN4_p39138433	1
ACTN4	ACTN4_p39138459	1
ACTN4	ACTN4_p39138465	1
ACTN4	ACTN4_p39138476	1
ACTN4	ACTN4_p39138482	1
ACTR1A	ACTR1A_m104248862	1
ACTR1A	ACTR1A_m104250350	1
ACTR1A	ACTR1A_m104250365	1
ACTR1A	ACTR1A_p104248833	1
ACTR1A	ACTR1A_p104248866	1
ACTR1A	ACTR1A_p104250290	1
ACTR1A	ACTR1A_p104250304	1
ACTR1A	ACTR1A_p104262351	1
ACTR1A	ACTR1A_p104262374	1
ACTR1A	ACTR1A_p104262383	1
ACTR3	ACTR3_m114684932	1
ACTR3	ACTR3_m114688941	1
ACTR3	ACTR3_p114674498	1
ACTR3	ACTR3_p114684915	1
ACTR3	ACTR3_p114684941	1
ACTR3	ACTR3_p114684946	1
ACTR3	ACTR3_p114684953	1
ACTR3	ACTR3_p114688931	1
ACTR3	ACTR3_p114691883	1
